Index	Entry	Entry.name	Protein.names	Gene.names
388870	A6UYD2	RPIA_PSEA7	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	rpiA PSPA7_0422
393224	A6UYD9	RPPH_PSEA7	RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase)	rppH nudH PSPA7_0429
214758	A6UYE4	LGT_PSEA7	Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)	lgt PSPA7_0434
486669	A6UYE6	TYSY_PSEA7	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA PSPA7_0436
191247	A6UYF6	ILVD_PSEA7	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD PSPA7_0446
136491	A6UYG0	FPG_PSEA7	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM fpg PSPA7_0450
466873	A6UYJ0	THIG_PSEA7	Thiazole synthase (EC 2.8.1.10)	thiG PSPA7_0480
476790	A6UYJ1	TRMB_PSEA7	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB PSPA7_0481
234464	A6UYJ9	METX_PSEA7	Homoserine O-acetyltransferase (EC 2.3.1.31) (Homoserine O-trans-acetylase) (HTA) (Homoserine transacetylase)	metX PSPA7_0489
328430	A6UYL2	PYRB_PSEA7	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB PSPA7_0502
332205	A6UYL3	PYRR_PSEA7	Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]	pyrR PSPA7_0503
547873	A6UYL4	YQGF_PSEA7	Putative pre-16S rRNA nuclease (EC 3.1.-.-)	PSPA7_0504
527637	A6UYL5	Y505_PSEA7	UPF0301 protein PSPA7_0505	PSPA7_0505
527897	A6UYN3	Y523_PSEA7	UPF0312 protein PSPA7_0523	PSPA7_0523
226563	A6UYU5	MASZ_PSEA7	Malate synthase G (EC 2.3.3.9)	glcB PSPA7_0585
43668	A6UYW0	BIOB_PSEA7	Biotin synthase (EC 2.8.1.6)	bioB PSPA7_0600
44370	A6UYW1	BIOF_PSEA7	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)	bioF PSPA7_0601
43898	A6UYW3	BIOC_PSEA7	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)	bioC PSPA7_0603
44106	A6UYW4	BIOD_PSEA7	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	bioD PSPA7_0604
233769	A6UZ09	METK_PSEA7	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	metK PSPA7_0649
299654	A6UZ15	PGK_PSEA7	Phosphoglycerate kinase (EC 2.7.2.3)	pgk PSPA7_0655
406460	A6UZ82	RS21_PSEA7	30S ribosomal protein S21	rpsU PSPA7_0722
483130	A6UZ83	TSAD_PSEA7	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	tsaD gcp PSPA7_0723
305615	A6UZ84	PLSY_PSEA7	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.n3) (Lysophosphatidic acid synthase) (LPA synthase)	plsY PSPA7_0724
54378	A6UZ87	CCA_PSEA7	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase (EC 3.1.3.-)]	cca PSPA7_0726
530292	A6UZ90	Y730_PSEA7	UPF0229 protein PSPA7_0730	PSPA7_0730
152973	A6UZ93	GLPE_PSEA7	Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)	glpE PSPA7_0733
18129	A6UZ94	APAH_PSEA7	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical (EC 3.6.1.41) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate pyrophosphohydrolase) (Diadenosine tetraphosphatase)	apaH PSPA7_0734
17921	A6UZ95	APAG_PSEA7	Protein ApaG	apaG PSPA7_0735
480054	A6UZF1	TRPD_PSEA7	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD PSPA7_0791
479541	A6UZF2	TRPC_PSEA7	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	trpC PSPA7_0792
437253	A6UZF5	SPED_PSEA7	S-adenosylmethionine decarboxylase proenzyme (AdoMetDC) (SAMDC) (EC 4.1.1.50) [Cleaved into: S-adenosylmethionine decarboxylase beta chain; S-adenosylmethionine decarboxylase alpha chain]	speD PSPA7_0795
73384	A6UZF6	COQ7_PSEA7	2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-) (5-demethoxyubiquinone hydroxylase) (DMQ hydroxylase)	coq7 PSPA7_0796
21790	A6UZG3	ARGC_PSEA7	N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase)	argC PSPA7_0803
120518	A6UZG6	ERPA_PSEA7	Iron-sulfur cluster insertion protein ErpA	erpA PSPA7_0806
16973	A6UZG7	ANMK_PSEA7	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	anmK PSPA7_0807
70889	A6UZH2	COAX_PSEA7	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	coaX PSPA7_0817
114587	A6UZH4	EFTU_PSEA7	Elongation factor Tu (EF-Tu)	tuf1 PSPA7_0822; tuf2 PSPA7_0835
353499	A6UZH7	RL11_PSEA7	50S ribosomal protein L11	rplK PSPA7_0826
360304	A6UZH8	RL1_PSEA7	50S ribosomal protein L1	rplA PSPA7_0827
352651	A6UZH9	RL10_PSEA7	50S ribosomal protein L10	rplJ PSPA7_0828
378489	A6UZI0	RL7_PSEA7	50S ribosomal protein L7/L12	rplL PSPA7_0829
390623	A6UZI1	RPOB_PSEA7	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB PSPA7_0830
391678	A6UZI2	RPOC_PSEA7	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC PSPA7_0831
398930	A6UZI3	RS12_PSEA7	30S ribosomal protein S12	rpsL PSPA7_0832
412067	A6UZI4	RS7_PSEA7	30S ribosomal protein S7	rpsG PSPA7_0833
397230	A6UZI7	RS10_PSEA7	30S ribosomal protein S10	rpsJ PSPA7_0836
374962	A6UZI8	RL3_PSEA7	50S ribosomal protein L3	rplC PSPA7_0837
375968	A6UZI9	RL4_PSEA7	50S ribosomal protein L4	rplD PSPA7_0838
363555	A6UZJ0	RL23_PSEA7	50S ribosomal protein L23	rplW PSPA7_0839
368197	A6UZJ1	RL2_PSEA7	50S ribosomal protein L2	rplB PSPA7_0840
404858	A6UZJ2	RS19_PSEA7	30S ribosomal protein S19	rpsS PSPA7_0841
362787	A6UZJ3	RL22_PSEA7	50S ribosomal protein L22	rplV PSPA7_0842
408697	A6UZJ4	RS3_PSEA7	30S ribosomal protein S3	rpsC PSPA7_0843
356899	A6UZJ5	RL16_PSEA7	50S ribosomal protein L16	rplP PSPA7_0844
367344	A6UZJ6	RL29_PSEA7	50S ribosomal protein L29	rpmC PSPA7_0845
403167	A6UZJ7	RS17_PSEA7	30S ribosomal protein S17	rpsQ PSPA7_0846
355178	A6UZJ8	RL14_PSEA7	50S ribosomal protein L14	rplN PSPA7_0847
364418	A6UZJ9	RL24_PSEA7	50S ribosomal protein L24	rplX PSPA7_0848
376792	A6UZK0	RL5_PSEA7	50S ribosomal protein L5	rplE PSPA7_0849
400710	A6UZK1	RS14_PSEA7	30S ribosomal protein S14	rpsN PSPA7_0850
412999	A6UZK2	RS8_PSEA7	30S ribosomal protein S8	rpsH PSPA7_0851
377606	A6UZK3	RL6_PSEA7	50S ribosomal protein L6	rplF PSPA7_0852
358653	A6UZK4	RL18_PSEA7	50S ribosomal protein L18	rplR PSPA7_0853
410418	A6UZK5	RS5_PSEA7	30S ribosomal protein S5	rpsE PSPA7_0854
369016	A6UZK6	RL30_PSEA7	50S ribosomal protein L30	rpmD PSPA7_0855
356073	A6UZK7	RL15_PSEA7	50S ribosomal protein L15	rplO PSPA7_0856
373400	A6UZK9	RL361_PSEA7	50S ribosomal protein L36 1	rpmJ1 PSPA7_0858
399779	A6UZL0	RS13_PSEA7	30S ribosomal protein S13	rpsM PSPA7_0859
398063	A6UZL1	RS11_PSEA7	30S ribosomal protein S11	rpsK PSPA7_0860
409651	A6UZL2	RS4_PSEA7	30S ribosomal protein S4	rpsD PSPA7_0861
389763	A6UZL3	RPOA_PSEA7	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA PSPA7_0862
357734	A6UZL4	RL17_PSEA7	50S ribosomal protein L17	rplQ PSPA7_0863
458500	A6UZV3	SYY_PSEA7	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	tyrS PSPA7_0952
435916	A6UZY0	SOTB_PSEA7	Probable sugar efflux transporter	sotB PSPA7_0980
350381	A6V049	RISB_PSEA7	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH PSPA7_1048
346848	A6V055	RIBA_PSEA7	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	ribA PSPA7_1054
108630	A6V058	DXS_PSEA7	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs PSPA7_1057
122746	A6V060	EX7S_PSEA7	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)	xseB PSPA7_1059
121891	A6V082	EUTC_PSEA7	Ethanolamine ammonia-lyase light chain (EC 4.3.1.7) (Ethanolamine ammonia-lyase small subunit)	eutC PSPA7_1081
313277	A6V0A3	PROA_PSEA7	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA PSPA7_1102
258891	A6V0A4	NADD_PSEA7	Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	nadD PSPA7_1103
381107	A6V0A6	RLMH_PSEA7	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	rlmH PSPA7_1105
510997	A6V0B2	Y1111_PSEA7	UPF0250 protein PSPA7_1111	PSPA7_1111
216514	A6V0B3	LIPB_PSEA7	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	lipB PSPA7_1112
216024	A6V0B4	LIPA_PSEA7	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA PSPA7_1113
453074	A6V0C2	SYL_PSEA7	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS PSPA7_1121
217585	A6V0C5	LNT_PSEA7	Apolipoprotein N-acyltransferase (ALP N-acyltransferase) (EC 2.3.1.-)	lnt PSPA7_1124
534668	A6V0C7	YBEY_PSEA7	Endoribonuclease YbeY (EC 3.1.-.-)	ybeY PSPA7_1126
236815	A6V0C9	MIAB_PSEA7	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)	miaB PSPA7_1128
161234	A6V0D2	GSA_PSEA7	Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)	hemL PSPA7_1131
466508	A6V0D3	THIE_PSEA7	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE PSPA7_1132
242538	A6V0J0	MOAC_PSEA7	Cyclic pyranopterin monophosphate synthase accessory protein (Molybdenum cofactor biosynthesis protein C)	moaC PSPA7_1190
344537	A6V0K2	RF3_PSEA7	Peptide chain release factor 3 (RF-3)	prfC PSPA7_1202
512194	A6V0Q7	Y1257_PSEA7	UPF0213 protein PSPA7_1257	PSPA7_1257
380524	A6V0S3	RLMF_PSEA7	Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.181) (23S rRNA mA1618 methyltransferase) (rRNA adenine N-6-methyltransferase)	rlmF PSPA7_1273
15639	A6V0T2	AMPA_PSEA7	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	pepA PSPA7_1282
333046	A6V0T8	QUEA_PSEA7	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA PSPA7_1289
194394	A6V0U8	ISCS_PSEA7	Cysteine desulfurase IscS (EC 2.8.1.7)	iscS PSPA7_1299
179679	A6V0V1	HSCB_PSEA7	Co-chaperone protein HscB homolog	hscB PSPA7_1302
179510	A6V0V2	HSCA_PSEA7	Chaperone protein HscA homolog	hscA PSPA7_1303
264121	A6V0V6	NDK_PSEA7	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	ndk PSPA7_1307
382146	A6V0V7	RLMN_PSEA7	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN PSPA7_1308
196501	A6V0W0	ISPG_PSEA7	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	ispG PSPA7_1311
451244	A6V0W1	SYH_PSEA7	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisS PSPA7_1312
96306	A6V0W4	DER_PSEA7	GTPase Der (GTP-binding protein EngA)	der engA PSPA7_1315
211926	A6V0X2	LEU1_PSEA7	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA PSPA7_1323
238723	A6V102	MLTF_PSEA7	Membrane-bound lytic murein transglycosylase F (EC 4.2.2.n1) (Murein lyase F)	mltF PSPA7_1353
402338	A6V123	RS16_PSEA7	30S ribosomal protein S16	rpsP PSPA7_1374
348170	A6V124	RIMM_PSEA7	Ribosome maturation factor RimM	rimM PSPA7_1375
477393	A6V125	TRMD_PSEA7	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	trmD PSPA7_1376
359472	A6V126	RL19_PSEA7	50S ribosomal protein L19	rplS PSPA7_1377
452384	A6V187	SYK_PSEA7	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS PSPA7_1438
50330	A6V1A0	CAPP_PSEA7	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	ppc PSPA7_1451
199463	A6V1A1	KAD_PSEA7	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk PSPA7_1452
417277	A6V1A8	RSMJ_PSEA7	Ribosomal RNA small subunit methyltransferase J (EC 2.1.1.242) (16S rRNA m2G1516 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)	rsmJ PSPA7_1459
304601	A6V1B5	PLSB_PSEA7	Glycerol-3-phosphate acyltransferase (GPAT) (EC 2.3.1.15)	plsB PSPA7_1466
89330	A6V1C2	DAPD_PSEA7	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD PSPA7_1473
152199	A6V1D0	GLND_PSEA7	Bifunctional uridylyltransferase/uridylyl-removing enzyme (UTase/UR) (Bifunctional [protein-PII] modification enzyme) (Bifunctional nitrogen sensor protein) [Includes: [Protein-PII] uridylyltransferase (PII uridylyltransferase) (UTase) (EC 2.7.7.59); [Protein-PII]-UMP uridylyl-removing enzyme (UR) (EC 3.1.4.-)]	glnD PSPA7_1481
407616	A6V1D2	RS2_PSEA7	30S ribosomal protein S2	rpsB PSPA7_1483
113673	A6V1D3	EFTS_PSEA7	Elongation factor Ts (EF-Ts)	tsf PSPA7_1484
331643	A6V1D4	PYRH_PSEA7	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH PSPA7_1485
395960	A6V1D5	RRF_PSEA7	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)	frr PSPA7_1486
108130	A6V1D8	DXR_PSEA7	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	dxr PSPA7_1489
220505	A6V1E2	LPXD_PSEA7	UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.-)	lpxD PSPA7_1493
126381	A6V1E3	FABZ_PSEA7	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ (EC 4.2.1.59) ((3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase) ((3R)-hydroxymyristoyl-ACP dehydrase) (Beta-hydroxyacyl-ACP dehydratase)	fabZ PSPA7_1494
219590	A6V1E4	LPXA_PSEA7	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	lpxA PSPA7_1495
219861	A6V1E5	LPXB_PSEA7	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB PSPA7_1496
384930	A6V1E6	RNH2_PSEA7	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB PSPA7_1497
5047	A6V1E9	ACCA_PSEA7	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	accA PSPA7_1500
331055	A6V1F1	PYRG_PSEA7	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG PSPA7_1502
202929	A6V1F2	KDSA_PSEA7	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)	kdsA PSPA7_1503
118318	A6V1F3	ENO_PSEA7	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno PSPA7_1504
195070	A6V1F5	ISPD_PSEA7	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	ispD PSPA7_1506
196082	A6V1G1	ISPF_PSEA7	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF PSPA7_1512
482119	A6V1G2	TRUD_PSEA7	tRNA pseudouridine synthase D (EC 5.4.99.27) (tRNA pseudouridine(13) synthase) (tRNA pseudouridylate synthase D) (tRNA-uridine isomerase D)	truD PSPA7_1513
444887	A6V1G3	SURE_PSEA7	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	surE PSPA7_1514
302869	A6V1G4	PIMT_PSEA7	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	pcm PSPA7_1515
256308	A6V1G8	MUTS_PSEA7	DNA mismatch repair protein MutS	mutS PSPA7_1519
340009	A6V1H2	RECA_PSEA7	Protein RecA (Recombinase A)	recA PSPA7_1523
342286	A6V1H3	RECX_PSEA7	Regulatory protein RecX	recX PSPA7_1524
369459	A6V1I9	RL31B_PSEA7	50S ribosomal protein L31 type B	rpmE2 PSPA7_1540
373445	A6V1J0	RL362_PSEA7	50S ribosomal protein L36 2	rpmJ2 PSPA7_1541
232997	A6V1K5	METE_PSEA7	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme)	metE PSPA7_1556
24218	A6V1N6	ARNF_PSEA7	Probable 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF (L-Ara4N-phosphoundecaprenol flippase subunit ArnF) (Undecaprenyl phosphate-aminoarabinose flippase subunit ArnF)	arnF PSPA7_1587
24146	A6V1N7	ARNE_PSEA7	Probable 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE (L-Ara4N-phosphoundecaprenol flippase subunit ArnE) (Undecaprenyl phosphate-aminoarabinose flippase subunit ArnE)	arnE PSPA7_1588
24308	A6V1N8	ARNT_PSEA7	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase (EC 2.4.2.43) (4-amino-4-deoxy-L-arabinose lipid A transferase) (Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase) (Undecaprenyl phosphate-alpha-L-Ara4N transferase)	arnT PSPA7_1589
24073	A6V1N9	ARND_PSEA7	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD PSPA7_1590
23855	A6V1P0	ARNA_PSEA7	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA PSPA7_1591
24002	A6V1P1	ARNC_PSEA7	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC PSPA7_1592
23930	A6V1P2	ARNB_PSEA7	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB PSPA7_1593
14044	A6V1P7	ALGL_PSEA7	Alginate lyase (EC 4.2.2.3) (Poly(beta-D-mannuronate) lyase)	algL PSPA7_1598
515376	A6V1Q6	Y1607_PSEA7	UPF0246 protein PSPA7_1607	PSPA7_1607
